Engagment,Year,Location,Country,Latitude,Longitude
Battle of Liege,1914,Liege,Belgium,50.473889,5.572222
Battle of Mulhouse,1914,Mulhouse,France,47.749444,7.34
Battle of Lorraine,1914,Moselle,France,49.033889,6.661944
Battle of Ardennes,1914,Manhay,Belgium,50.25,5.666667
Battle of Charleroi,1914,Charleroi,Belgium,50.4,4.433333
Battle of Mons,1914,Mons,Belgium,50.45,3.95
Battle of Haelen,1914,Haelen,Belgium,50.949167,5.110556
Battle of the Stalluponen,1914,Nesterov,Russia,54.630556,22.573333
Battle of Gumbinnen,1914,Gusev,Russia,54.583333,22.2
Siege of Namur,1914,Namur,Belgium,50.466667,4.866667
Battle of Dinant,1914,Dinat,Belgium,50.266667,4.916667
Siege of  Maubeuge,1914,Maubeuge,France,50.2775,3.973333
Battle of Le Cateau,1914,Le CateauCambresis,France,50.104167,3.544444
Battle of Tannenberg,1914,Olsztyn,Poland,53.495833,20.134444
Battle of Heligoland Bight,1914,Heligoland Bight,North Sea,54.19,7.51
Battle of Guise,1914,Guise,France,49.900833,3.628333
Siege of Tsingtao,1914,Qingdao,China,36.066667,120.383333
First Battle of the Marne,1914,Marne River,France,49.016667,3.383333
First Battle of the Masurian Lakes,1914,Masurian Lake ,Poland,53.86711,20.70279
Battle of Bita Paka,1914,Bita Paka,Papua New Guinea,-4.416667,152.316667
First Battle of the Aisne,1914,Aisne,France,49.433333,3.666667
Battle of Ukoko,1914,Cocobeach,Gabon,0.983333,9.566667
First Battle of Albert,1914,Picardy,France,49.5,2.833333
Battle of Sandfontein,1914,Sandfontein,Namibia,-28.6847,18.5166
Siege of Antwerp,1914,Antwerp,Belgium,51.216667,4.4
First Battle of Arras,1914,Arras,France,50.289722,2.780833
First Battle of Ypres,1914,Ypres,Belgium,50.85,2.883333
Battle of the Yser,1914,River Yser,Belgium,51.152778,2.723056
Battle of Coronel,1914,South Pacific,Ocean,-36.983611,-73.813611
Battle of Tanga,1914,Tanga,Tanzania,-5.066667,39.1
Battle of Basra,1914,Basra,Iraq,30.416667,48.016667
Battle of Qurna,1914,Al Qurnah,Iraq,31.016667,47.433333
Battle of the Falkland Islands,1914,South Atlantic,Ocean,-52.499444,-56.166389
Raid on Scarborough,1914,Scarborough,England,54.2773,-0.4017
Raid on Hartlepool,1914,Hartlepool,England,54.69,-1.21
Raid on Whitby,1914,Whitby,England,54.4858,-0.6206
Battle of Aubers Ridge,1915,Aubers,France,50.6,2.816667
First Battle of Champagne,1914,Champagne Ardenne,France,49.184444,4.544167
Battle of Dogger Bank,1915,Dogger Bank,North Sea,54.557778,5.463889
Battle of Bolimov,1915,Bolimov,Poland,52.076389,20.163056
Second Battle of the Masurian Lakes,1915,Masurian Lake ,Poland,53.86711,20.70279
Battle of Neuve Chapelle,1915,Artois,France,50.585,2.7775
Battle of Shaiba,1915,Shaiba,Iraq,30.4297083,47.6647984
Second Battle of Ypres,1915,Ypres,Belgium,50.891,2.979
Landings at Anzac Cove,1915,Anzac Cove,Turkey,40.246111,26.277778
Landings at Cape Helles,1915,Cape Helles,Turkey,40.0431,26.1753
First Battle of Krithia,1915,Alcitepe,Turkey,40.0942679,26.2221717
Battle of Gurin,1915,Gurin,Nigeria,9.114889,12.877278
Second Battle of Krithia,1915,Alcitepe,Turkey,40.0942679,26.2221717
Battle of Festubert,1915,Festubert,France,50.543889,2.736111
Third attack on Anzac Cove,1915,Anzac Cove,Turkey,40.246111,26.277778
Battle of Amara,1915,Amarah,Iraq,31.833333,47.15
Third Battle of Krithia,1915,Alcitepe,Turkey,40.0942679,26.2221717
First Battle of the Isonzo,1915,Soca River,Italy,45.9425,13.6025
Battle of Nasiriyah,1915,Nasiriyah,Iraq,31.05,46.266667
Battle of Gully Ravine,1915,Cape Helles,Turkey,40.078333,26.188611
Attack on Achi Baba,1915,Achi Baba,Turkey,40.0988099,26.2549992
Second Battle of the Isonzo,1915,Soca River,Italy,45.863333,13.528056
Landings at Suvla Bay,1915,Suvla,Turkey,40.305278,26.228333
Battle of Lone Pine,1915,Lone Pine,Turkey,40.230278,26.287222
Battle of the Nek,1915,Nek,Turkey,40.2414,26.288385
Battle of Hill 60,1915,Ypres,Belgium,50.821389,2.931667
Battle of Scimitar Hill,1915,Suvla,Turkey,40.2726,26.2931
Battle of Loos,1915,Loos,France,50.458333,2.794167
Siege of Kut-al-Amara,1915,Kut,Iraq,32.505556,45.824722
Third Battle of the Isonzo,1915,Soca River,Italy,45.856667,13.400278
Battle of Banjo,1915,Banjo,Cameroon,6.775,11.818333
Fourth Battle of the Isonzo,1915,Soca River,Italy,45.969167,13.611111
Battle of Ctesiphon,1915,Ctesiphon,Iraq,33.093611,44.580556
Battle of Sheikh Sa'ad,1916,Shayk Sad,Iraq,32.5644255,46.2589644
